sample.name,site.name,soil.chem,date.collected,latitude,longitude,Order,Great Group,Family,Rating,soil.chem.update
.,porterville,serpentine,11/23/2020,36.0632,-118.90974,.,.,.,.,.
.,porterville,nonserpentine,11/23/2020,36.06388,-118.91113,.,.,.,.,.
.,San Luis Obispo (slo),serpentine,11/24/2020,35.29386,-120.64455,.,.,.,.,.
.,San Luis Obispo (slo),nonserpentine,11/24/2020,35.29438,-120.64336,.,.,.,.,.
1-tahns,tahoe,nonserpentine,11/17/2020,39.12386,-120.79587,Ultisol,Xerult,Haploxerult,residuum weathered from metasedimentary rock,nonserpentine
10-morns,morgan,nonserpentine,12/9/2020,37.19167,-121.70661,Vertisol,Xerert,Haploxerert,alluvium,nonserpentine
11-woons,woodleaf,nonserpentine,12/19/2020,39.51457,-121.1939,Ultisol,Humult,Haplohumult,residuum weathered from metamorphic rock,nonserpentine
12-orons,oroville (rock house),nonserpentine,12/19/2020,39.71929,-121.52212,Alfisol,Xeralf,Palexeralf,silty and clayey colluvium and/or residuum weathered from metasedimentary rock,nonserpentine
13-robns,redwood/skyline (Roberts),nonserpentine,12/10/2020,37.81385,-122.17658,Inceptisol,Xerept,Dystroxerept,residuum weathered from sedimentary rock,nonserpentine
14-mcl2ns,mcl new,nonserpentine,12/18/2020,38.87072,-122.42275,Mollisol,Xeroll,Argixeroll,alluvium derived from serpentinite,serpentine
15-sug2ns,sugar 2,nonserpentine,12/11/2020,38.433,-122.55358,Inceptisol,Xerept,Haploxerept,alluvium derived from basic igneous rock,nonserpentine
16-stons,stonyford,nonserpentine,12/16/2020,39.38709,-122.5391,Mollisol,Xeroll,Argixeroll,residuum weathered from serpentinite,serpentine
17-mclns,mcl,nonserpentine,12/18/2020,38.87151,-122.42225,Alfisol,Xeralf,Haploxeralf,residuum weathered from sedimentary rock,nonserpentine
18-sug1ns,sugar 1,nonserpentine,12/11/2020,38.4362,-122.50745,Vertisol,Aquert,Endoaquert,alluvium derived from volcanic and sedimentary rock,nonserpentine
19-shans,shasta,nonserpentine,12/8/2020,40.84709,-122.8606,Alfisol,Xeralf,Haploxeralf,residuum weathered from serpentinite,serpentine
2-lagns,laguna,nonserpentine,11/25/2020,36.3725,-120.82508,Mollisol,Xeroll,Haploxeroll,pachic; residuum weathered from sandstone and shale,nonserpentine
